"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_attr","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","ref_author","ref_pubyr","reference_no","phylum","class","order","family","genus","plant_organ","plant_organ2","abund_value","abund_unit","lng","lat","occurrence_comments","collection_name","collection_subset","collection_aka","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments","paleomodel","geoplate","paleoage","paleolng","paleolat","paleomodel2","geoplate2","paleoage2","paleolng2","paleolat2","paleomodel3","geoplate3","paleoage3","paleolng3","paleolat3","cc","protected","formation","stratgroup","member","stratscale","zone","localsection","localbed","localbedunit","localorder","regionalsection","regionalbed","regionalbedunit","regionalorder","stratcomments","lithdescript","lithology1","lithadj1","lithification1","minor_lithology1","fossilsfrom1","lithology2","lithadj2","lithification2","minor_lithology2","fossilsfrom2","environment","tectonic_setting","geology_comments","assembl_comps","articulated_parts","associated_parts","common_body_parts","rare_body_parts","feed_pred_traces","artifacts","component_comments","pres_mode","preservation_quality","spatial_resolution","temporal_resolution","lagerstatten","concentration","orientation","abund_in_sediment","sorting","fragmentation","bioerosion","encrustation","preservation_comments","collection_type","collection_methods","museum","collection_coverage","collection_size","rock_censused","collectors","collection_dates","collection_comments","taxonomy_comments","taxon_environment","environment_basis","motility","life_habit","vision","diet","reproduction","ontogeny","ecospace_comments","composition","architecture","thickness","reinforcement"
"139261","occ","","","11903","Daspletosaurus torosus","species","57258","","Daspletosaurus torosus","","species","57258","Late Campanian","","83.5","70.6","Russell","1970","4205","Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Daspletosaurus","","","1","specimens","-110.681999","49.083698","NMC 11594","Manyberries (NMC 11594)","","","CA","Alberta","","stated in text","4","small collection","near center of NW 1/4 of section 36, township 1, range 6, W. 4th meridian; about 30 feet below prairie rim; near Manyberries, Alberta","gplates","101","mid","-66.13","59.20","scotese","101","mid","-75.92","57.30","seton","101","mid","-79.14","54.04","CA","","Oldman","Belly River","","bed","","","","","","","","","","","","","","","","","","","","","","terrestrial indet.","","","macrofossils","","","","","","","","body","medium","","snapshot","","dispersed","","","","frequent","","","","paleoecologic","selective quarrying,surface (in situ),mechanical,field collection","NMC","","","","","","","","terrestrial","","actively mobile","","","carnivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","",""
"139262","occ","","","11904","Theropoda indet.","unranked clade","94209","","Theropoda","","unranked clade","38513","Late Campanian","","83.5","70.6","Lambe","1915","62883","Chordata","Saurischia","","","","","","1","specimens","-111.511902","50.742401","","Steveville (NMC 350)","","","CA","Alberta","","stated in text","4","small collection","section 31, township 20, range 11, W. 4th meridian; near Steveville, Alberta","gplates","101","mid","-65.70","60.93","scotese","101","mid","-75.80","59.04","seton","101","mid","-79.34","55.77","CA","","Oldman","Belly River","","bed","","","","","","","","","","","","not reported","","","","","","","","","","terrestrial indet.","","","macrofossils","","","","","","","","body","","","snapshot","","dispersed","","","","","","","","paleoecologic","selective quarrying,mechanical,field collection","GSC","","","","Sternberg","1914","","","terrestrial","","actively mobile","ground dwelling, solitary","","carnivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","",""
"139290","occ","23303","","11915","n. gen. Daspletosaurus n. sp. torosus","species","57258","","Daspletosaurus torosus","","species","57258","Middle Campanian","","83.5","70.6","Russell","1970","4205","Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Daspletosaurus","","","1","specimens","-111.485008","50.751526","","RTMP Quarry 72, Steveville, (NMC)","","Daspletosaurus type, Sternberg Quarry 88, G.S.C.23","CA","Alberta","","stated in text","6","small collection","near Steveville, Alberta (now Dinosaur Provincial Park); E 1/2, sec 5, T21, R11, LSD 4","gplates","101","mid","-65.66","60.93","scotese","101","mid","-75.76","59.05","seton","101","mid","-79.31","55.78","CA","","Oldman","Belly River","","bed","","","","","","Dinosaur Park","-3.91","m","bottom to top","","""sandstone, claystone, siltstone""","sandstone","","","argillaceous,silty","Y","","","","","","fine channel fill","","","macrofossils","","","","","","","","body","good","parautochthonous","snapshot","","dispersed","","","","","","","","paleoecologic","selective quarrying,mechanical,field collection","NMC","","","","C. M. Sternberg","1921","","","terrestrial","","actively mobile","","","carnivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","",""
"139291","occ","38040","","11916","Albertosaurus sarcophagus","species","56319","","Albertosaurus sarcophagus","","species","56319","Early Maastrichtian","","70.6","66","Mallon et al.","2020","76179","Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Albertosaurus","","","1","specimens","-112.934799","51.928299","NMC 11315 (specimen of an immature individual)","South bank of Red Deer River, upstream of Tolman Bridge","","Near Scollard","CA","Alberta","","stated in text","4","small collection","SW 1/8 of section 20, township 34, range 21, W. 4th meridian; 150 feet above south bank of Red Deer River; near Scollard, AB, upriver from Tolman Bridge.","gplates","101","mid","-68.08","64.06","scotese","101","mid","-84.61","59.93","seton","101","mid","-84.26","58.45","CA","","Horseshoe Canyon","Edmonton","Tolman","bed","","","","","","","","","","""Edmonton B""; possibly same horizon as the Albertosaurus Bonebed","","sandstone","","","","Y","","","","","","terrestrial indet.","","","macrofossils","","","","","","","","body","good","","snapshot","","dispersed","","","","","","","","paleoecologic","selective quarrying,mechanical,field collection","NMC","","","","C. M. Sternberg & crew","1926","","","terrestrial","","actively mobile","","","carnivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","",""
"139292","occ","22878","","11917","Tyrannosaurus rex","species","54833","","Tyrannosaurus rex","","species","54833","Late Maastrichtian","","70.6","66","Eberth et al.","2001","4218","Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Tyrannosaurus","","","1","specimens","-113.028900","51.906399","NMC 9554","Knudsen's Coulee (NMC 9950)","","East of Huxley","CA","Alberta","","stated in text","4","small collection","center of section 10, township 34, range 22, W. 4th meridian; about 10 feet above Kneehills Tuff; 7 miles east of Huxley, AB","gplates","101","mid","-68.22","64.06","scotese","101","mid","-84.73","59.93","seton","101","mid","-84.37","58.44","CA","","Scollard","","","bed","","","","","","","","","","""upper Edmonton Formation""; now Scollard; 52 m above base (Kneehills Tuff), 4.3 m above Nevis Seam no. 13 and 13 m below Ardley Seam no. 14 - corrected to 34.5 m above base and 10.5 m below Nevis","""concretionary zone in the basal part of a channel sandstone""","sandstone","concretionary","","","Y","","","","","","""channel""","","","macrofossils","","","","","","","","body","medium","","snapshot","","dispersed","","","","frequent","","","","taxonomic","selective quarrying,surface (float),surface (in situ),mechanical,field collection,observed (not collected)","GSC","","","","C. Sternberg","1946","","","terrestrial","","actively mobile","","","carnivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","",""
"139293","occ","","","11918","cf. Tyrannosaurus rex","species","54833","","Tyrannosaurus rex","","species","54833","Late Maastrichtian","","70.6","66","Russell","1970","4205","Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Tyrannosaurus","","","1","specimens","-113.233330","51.933334","NMC 9950, cervical","East of Huxley (NMC 9554)","","","CA","Alberta","","stated in text","minutes","small collection","center of section 10, township 34, range 11, W. 4th meridian; about 20 feet below and 200 yards south of NMC 9950 locality; 7 miles east of Huxley, AB","gplates","101","mid","-68.44","64.15","scotese","101","mid","-84.95","60.00","seton","101","mid","-84.59","58.50","CA","","Scollard","Edmonton","","bed","","","","","","","","","","upper part of formation","","sandstone","ferruginous,red","lithified","","Y","","","","","","terrestrial indet.","","","macrofossils","","","","","","","","body","poor","","","","","","","","extreme","","","","paleoecologic","field collection,observed (not collected)","NMC,TMP","some macrofossils","1 specimens","","C. Sternberg, W. Langston","1946, 1960, 1981","single phalanx collected by Langston in 1960 from an eroded and shattered skeleton weathering out of a cliff, first observed by Sternberg in 1946. The same specimen was later collected (1981) by the RTMP.","","terrestrial","","actively mobile","","","carnivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","",""
"139294","occ","32334","","11919","Gryposaurus cf. notabilis","species","63251","","Gryposaurus notabilis","","species","63251","Late Campanian","","83.5","70.6","Prieto-Márquez","2011","59147","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Hadrosauridae","Gryposaurus","","","1","specimens","-111.529999","50.770000","NMC 8784, poorly preserved skull & skeleton","near mouth of Sandhill Creek (50 ft level) [NMC]","","Sand Creek, RTMP Quarry 252","CA","Alberta","","based on nearby landmark","2","small collection","near mouth of Sandhill Creek, about 50 feet (~15 m) above Red Deer River, AB. [Listed as Sand Creek but presumably an error, M. Vavrek pers. comm. to M. Carrano.]","gplates","101","mid","-65.69","60.96","scotese","101","mid","-75.80","59.07","seton","101","mid","-79.35","55.80","CA","","Oldman","Belly River","","bed","","","","","","","","","","","","not reported","","","","","","","","","","terrestrial indet.","","","macrofossils","","","","","","","","body","poor","","snapshot","","","","","","","","","","paleoecologic","selective quarrying,mechanical,field collection","NMC","","","","B. Brown & W. Cutler","1913","","","terrestrial","","actively mobile","","","herbivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","",""
"139295","occ","25241","","11920","Theropoda indet.","unranked clade","91970","","Theropoda","","unranked clade","38513","Hettangian","Sinemurian","201.3","190.8","Rowe and Gauthier","1990","36780","Chordata","Saurischia","","","","","","1","specimens","-72.633331","41.566666","","""Middlebury"" quarry (Middletown)","","Portland","US","Connecticut","","based on political unit","minutes","outcrop","probably the sandstone quarries at Portland, CT, across the Connecticut River from Middletown (""Middlebury"" originally reported probably in error). Found at a construction site in Newport, RI and traced back to these quarries.","gplates","101","mid","-9.08","21.08","scotese","101","mid","-18.47","23.52","seton","101","mid","-11.91","16.49","US","","Portland","Agawam","","formation","","","","","","","","","","""Portland Arkose"" originally thought to have been Late Triassic","a reddish brown arkosic sandstone...adhering to the surface of the block are traces of a soft red shale.\r\n""The lower portion of the slab, including the bone casts, consists of planar- laminated, fine- to coarse-grained, arkosic sandstone above which are three graded-bedding sequences. The underlying bed was composed of mud, as indicated by the thin shaly layers adhering to the underside of the slab near the bone casts. A mud lamina is exposed on one side of the slab as well.""","sandstone","current ripples,planar lamination,fine,coarse,brown,red","lithified","","Y","mudstone","planar lamination,red","poorly lithified","","Y","terrestrial indet.","rift","","macrofossils","","","","","arthropod boring","","","body,cast","medium","autochthonous","snapshot","","dispersed","","","","","","","","general faunal/floral","salvage,selective quarrying,survey of museum collection","","","1 specimens","","Cullum & W. B. Rogers","1864","originally quarried for construction purposes, but rescued from use and donated to the Boston Society of Natural History","this is the only body fossil known; numerous ichnotaxa reported as well","terrestrial","","actively mobile","ground dwelling, solitary","","carnivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","",""
"139306","occ","","","11923","n. gen. Amygdalodon n. sp. patagonicus","species","66447","","Amygdalodon patagonicus","","species","66447","Pliensbachian","Early Toarcian","190.8","182","Cabrera","1947","4208","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Amygdalodon","","","1","specimens","-69.516670","-43.966667","MLP 46-VIII-21-1/2, posterior dorsal vertebra (lectotype)","East Slope, Sierra Pampa de Agnía","","Cañadón Puelman","AR","Chubut","","based on nearby landmark","seconds","small collection","On the E slope of the Sierra Pampa de Agnía, SE of the Cerro Camerón and ca. 8 km WSW of the García Prieto ranch (formerly Gallina ranch) at the source of a tributary of Cañadón Puelman. This ranch is accessible by a trail that is part of La Herrería located on National Route 25, 400 km from Rawson. Coordinates are for the Sierra Pampa de Agnía. SW of Cerro Carnerero, Sierra de Cerro Negro. Listed as Cañadón Puelman, SW from Cerro Carnerero in refs 45986 and 82948..","gplates","291","mid","-10.37","-45.45","scotese","291","mid","-27.47","-42.64","seton","291","mid","-31.52","-45.71","AR","","Cerro Carnerero","","","bed","","","","","","","","","","fossiliferous beds rest on Liassic beds with Harpoceras subplanatum, and below the Middle-Upper Jurassic Porphyritic Series. Called the ""Cerro Carnerero"" beds, which ""include the Bajocian in their base and may extend into the Callovian"". Rauhut (2003) assigned to late Toarcian-early Aalenian interval and Rauhut (2008) assigned the Cerro Carnerero to Toarcian–Bajocian. The age has been recently refined by Pol et al. (2020) to Pliensbachian-early Toarcian","The remains were discovered in a bed of sandy tuff and bluish gray clay, which form part of a continental sedimentary series mixed with porphyritic conglomerates with partly encrusted round pebbles, and bluish gray cineritic clays with sandy intercalations and clays in lesser amounts. (translated from Spanish by M. Carrano)","tuff","","","sandy","Y","claystone","gray,blue","","","Y","terrestrial indet.","","","macrofossils,microfossils","none","many","","","","","","body","medium","","snapshot","","dispersed","","","","frequent","","","","taxonomic","field collection","","species names","1 individuals","","A. Piatnitzky, T. Suero","1936","","","terrestrial","","actively mobile","ground dwelling, gregarious","","herbivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","thick",""
"139307","occ","34164","","11924","Camarasaurus grandis","species","67181","","Camarasaurus grandis","","species","52961","Kimmeridgian","Tithonian","157.3","145","Chenoweth","1991","63746","Chordata","Saurischia","NO_ORDER_SPECIFIED","Camarasauridae","Camarasaurus","","","1","individuals","-108.699989","39.068802","","Riggs Quarry 12, Fruita (FMNH)","","Redlands","US","Colorado","Mesa","stated in text","4","small collection","In Redlands SW of Fruita, CO; near base of Serpent's Trail, near E entrance to Colorado NM. Now on private land, S side of No Thoroughfare Canyon, sec 29, T11S, R101W.","gplates","101","mid","-43.62","26.50","scotese","133","mid","-61.10","35.54","seton","101","mid","-45.90","30.12","US","NPS","Morrison","","Brushy Basin","bed","","","","","","","","","","described as ""lower Como Beds""","""variegated clays...alternation between green and purplish bands does not mark andy variation in the nature of hardness of these massive joint clays. There are frequent layers of clay nodules, sometimes calcareous, and a few ledges of nodular gray sandstone which are confined to limited areas. Occasional thick ledges of cross-bedded sandstone and lenticular masses of greenish sand occur at almost all levels, but these are likewise of limited extent. Near the top...the clays take on a more sandy nature."" (Riggs 1901)","claystone","green","","","Y","sandstone","","","","","fluvial-lacustrine indet.","","","macrofossils","","","","","","","","body","medium","","snapshot","","","","","","","","","","taxonomic","selective quarrying,mechanical,field collection","FMNH","","","","E. S. Riggs, H. W. Mencke, & V. H. Barnett","1900–1901","discovered by E. S. Riggs, H. W. Mencke, and V. H. Barnett","","terrestrial","","actively mobile","","","herbivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","thick",""
"139308","occ","","","11925","Camarasaurus supremus","species","54168","","Camarasaurus supremus","","species","54168","Kimmeridgian","","157.3","152.1","Riggs","1901","4209","Chordata","Saurischia","NO_ORDER_SPECIFIED","Camarasauridae","Camarasaurus","","","1","individuals","-108.717499","39.111668","FMNH P-6641","Riggs Quarry 14, Fruita (FMNH)","","","US","Colorado","Mesa","based on nearby landmark","seconds","small collection","2 mi S of Fruita, CO; 100 feet above Riggs Quarry 12; N of mouth of Wedding Canyon","gplates","101","mid","-42.07","26.66","scotese","133","mid","-59.77","34.90","seton","101","mid","-44.10","30.06","US","NPS","Morrison","","Salt Wash","bed","","","","","","","","","","described as ""upper Como Beds""","""variegated clays...alternation between green and purplish bands does not mark andy variation in the nature of hardness of these massive joint clays. There are frequent layers of clay nodules, sometimes calcareous, and a few ledges of nodular gray sandstone which are confined to limited areas. Occasional thick ledges of cross-bedded sandstone and lenticular masses of greenish sand occur at almost all levels, but these are likewise of limited extent. Near the top...the clays take on a more sandy nature."" (Riggs 1901)","claystone","green,red,blue","","","","""shale""","green","","","Y","fluvial-lacustrine indet.","","","macrofossils","","","","","","","","body","excellent","","snapshot","","","","","","","","","","taxonomic","selective quarrying,mechanical,field collection","FMNH","","","","E. S. Riggs","1900","","","terrestrial","","actively mobile","","","herbivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","thick",""
"139340","occ","","","11931","n. gen. Ankylosaurus n. sp. magniventris","species","52793","","Ankylosaurus magniventris","","species","52793","Late Maastrichtian","","70.6","66","Brown","1908","4210","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Ankylosauridae","Ankylosaurus","","","1","specimens","-106.569901","47.637699","AMNH 5895","upper end, Gilbert Creek","","Ankylosaurus type","US","Montana","Garfield","stated in text","4","small collection","upper end of Gilbert Creek, 120 miles north of Miles City, MT. ""probably"" section 27 or 28, T22N, R40E, Garfield Co. Coordinates for sec. 27.","gplates","101","mid","-64.70","58.34","scotese","101","mid","-79.77","54.60","seton","101","mid","-79.12","53.26","US","FED","Hell Creek","","","group of beds","","","","","","","","","","61-67 m below K-T boundary","","not reported","","","","","","","","","","terrestrial indet.","","","macrofossils","some","some","","","","","","body","good","","snapshot","","","","","","","","","","taxonomic","selective quarrying,mechanical,field collection","AMNH","","1 individuals","","P. Kaisen","1906","","","terrestrial","","actively mobile","","","herbivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","",""
"139341","occ","13412","","11932","Pleurocoelus sp.","genus","54170","nomen dubium","Titanosauriformes","","unranked clade","57468","Late Aptian","Early Albian","122.46","109","Czaplewski et al.","1994","14253","Chordata","Saurischia","","","","","","1","specimens","-96.278053","34.180000","coracoid","OMNH V611","","Caddo, Atoka","US","Oklahoma","Atoka","estimated from map","seconds","outcrop","between Caddo and Atoka, S of Atoka, Oklahoma; Stovall and Langston (1950) describe this site as ""about 25 miles almost due west"" from the holotype site of Acrocanthosaurus","gplates","101","mid","-39.65","37.81","scotese","101","mid","-50.95","32.04","seton","101","mid","-45.24","29.55","US","","Antlers","Trinity","","bed","","","","","","","","","","""upper bed"" of the ""Trinity sandstone""","White and yellow sand much cross-bedded and containing lentils of yellow sandy clay. It is one of these lentils from which the bone came.","sandstone","yellow","","","","claystone","yellow","","sandy","Y","coastal indet.","","""Most of this material bears evidence of being derived from adjoining rocks which formed the shore of the Cretaceous Sea...Everything points toward deposition in shallow turbulent water.""","macrofossils","none","none","","","","","","body","medium","","snapshot","","dispersed","","","","","","","","taxonomic","field collection","","","","","P. Larkin","1909","","","terrestrial","","actively mobile","ground dwelling, gregarious","","herbivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","thick",""
"144305","occ","38682","","10760","cf. Saurornitholestes sp.","genus","38567","","Saurornitholestes","","genus","38567","Early Maastrichtian","","70.6","66","Csiki et al.","2010","77788","Chordata","Saurischia","NO_ORDER_SPECIFIED","Dromaeosauridae","Saurornitholestes","","","1","individuals","22.915800","45.547501","MCDRD 254 and 454","Garjobel","","Gârjobel, Sânpetru, Girjobel","RO","Hunedoara","","estimated from map","4","small collection","south of Sânpetru, Hateg Basin, western Romania. Possible includes both Garjobel I and Garjobel II (references mix the two names for the same site), as well as older Girjobel Groza site.","gplates","308","mid","28.75","25.25","scotese","not computable using this model","mid","","","seton","348","mid","22.29","41.78","RO","","Sînpetru","","","bed","","","","","","","","","","","""greenish clayey sandstones"" and ""greenish clayey siltstones""","sandstone","massive,lenticular,green","","argillaceous","Y","siltstone","green","","argillaceous","Y","wet floodplain","","""poorly drained floodplain deposits""","macrofossils,mesofossils","","","","","","","","body","","parautochthonous","","","-bonebed","","","","","","","""Weathering and abrasion low; association frequent, articulation present""","general faunal/floral","surface (in situ),field collection","","","","","V. Doinel, I. Groza, C. Jianu","1983, 1992","","","terrestrial","","actively mobile","","","carnivore","oviparous","accretion,modification of parts","","hydroxyapatite","compact or dense","",""
"144307","occ","22890","","12584","Bistahieversor sealeyi","species","163808","","Bistahieversor sealeyi","","species","163808","Late Campanian","","83.5","70.6","Carr and Williamson","2010","32137","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Bistahieversor","","","1","individuals","-107.966393","36.060280","OMNH 10131","OMNH 40-V","","Ah-Shi-Sle-Pah Wash","US","New Mexico","San Juan","based on nearby landmark","seconds","local area","northeast of Chaco Canyon, presumably on Ah-Shi-Sle-Pah Wash (imprecise).","gplates","101","mid","-70.98","46.35","scotese","133","mid","-80.32","44.38","seton","101","mid","-80.38","40.89","US","NPS","Fruitland","","","member","","","","","","","","","","Precise stratigraphic horizon unknown (specimen collected in 1940); also referred to lower part of Kirtland Shale. Referred ""with some confidence"" to the Hunter Wash local fauna.","none given","not reported","","","","","","","","","","terrestrial indet.","","no details given","macrofossils","","","","","","","","body","good","","","","","","","","","","","no details given","taxonomic","selective quarrying,mechanical,field collection","","","1 individuals","","Stovall & Savage","1940","","","terrestrial","","actively mobile","","","carnivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","",""
"144308","occ","","","12585","Theropoda indet.","unranked clade","38513","","Theropoda","","unranked clade","38513","Puaroan","","148.5","145","Molnar et al.","1998","4249","Chordata","Saurischia","","","","","","1","specimens","174.716660","-37.383331","AU 13802","Huriwai Measures","","Geological Society of New Zealand R13/f284","NZ","Waikato","","based on nearby landmark","minutes","outcrop","3 km south of the Waikato River on the west coast of North Island. Coordinates for river mouth.","gplates","806","mid","157.11","-81.29","scotese","806","mid","65.66","-85.82","seton","806","mid","160.68","-82.62","NZ","","Huriwai Measures","","lower part","formation","","","","","","","","","","","coarse-grained, gritty, fawn arenite. Other rocks include breccias, conglomerates, and coarse sandstones with thin coals.","sandstone","yellow","","sandy","Y","conglomerate","","","","","delta front","","prograding shoreline backed by coastal braided floodplain with delta. Marine influence stronger in more basal strata, non-marine dominates higher up. Region subject to volcanic ash falls, but far enough away that pyroclastic and lava flows are absent.","macrofossils,mesofossils","","","","","","","","body","poor","","","","","","","","","","","","","surface (float),field collection","","some macrofossils","","","","","","""Abundant"" flora not detailed in this paper. Also bivalves.","terrestrial","","actively mobile","ground dwelling, solitary","","carnivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","",""
"146081","occ","38238","","12855","Abelisauridae indet.","family","53942","","Abelisauridae","","family","53942","Late Maastrichtian","","70.6","66","Gianechini and Apesteguía","2012","76372","Chordata","Saurischia","NO_ORDER_SPECIFIED","Abelisauridae","","","","1","specimens","-65.940002","-17.687000","1 tooth (MHNC-3702); numerous tooth fragments","Pajcha Pata","","Pajchapata","BO","Cochabamba","","based on nearby landmark","3","outcrop","About 40 km SE of Cochabamba, 1 km NE of Pajcha Pata, midway along Cliza-Anzaldo Road","gplates","201","mid","-47.75","-18.71","scotese","201","mid","-52.55","-20.15","seton","201","mid","-48.93","-20.40","BO","","El Molino","Puca","Lower","bed","","","","","","","","","","The fossils described in this paper occur about 30 m above the base of the El Molino Formation. This is in the base of the upper part of the Lower Member of the El Molino Formation\r\n\r\nBased on a detailed study of the magnetostratigraphy of the El Molino Formation at the La Palca stratotype section near Potos, and applying sequence stratigraphic methods for correlating with the Pajcha Pata section, the fossil bed is 68.4 Ma (Sempere et al., 1997, following the time scale of [Cande and Kent, 1992] and [Cande and Kent, 1995]).","The fossiliferous unit is about 3-m thick, and consists of red to yellow, fine- to medium-grained sandstone.The bed represents a broad channel that can be followed for about 2 km to the northeast of Pajcha Pata.","sandstone","fine,medium,red,yellow","","","Y","","","","","","estuary/bay","","The bed was deposited during a sharp and short regressive phase of the dominantly marine-influenced Lower El Molino at a time when deposition rates for the El Molino were highest. The channel sands derive from a large northeasterly draining river system","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","taxonomic","bulk,surface (float),sieve,field collection","","some macrofossils","","","Marshall, Gayet and Meunier","1989, 1994","Museo de Historia Natural de Cochabamba, Cochabamba, Bolivia (MHNC) collection","The fossil remains found at Pajcha Pata are mostly vertebrates. Nevertheless, a small number of invertebrates and plants have been recovered. They are generally very small and poorly preserved. There are gastropods (internal casts that seem identical to those found at Vila Vila21 and Tiupampa28), and Bryozoa. The flora is composed of charophytes. Some fish taxa (Gasteroclupea, Atherinomorpha), already reported at Pajcha Pata ( [Gayet, 1991] and [Gayet et al., 1991]) do not come from the main level but are from the area that includes this locality discussed in this paper. Consequently, they are not discussed in this present work.","terrestrial","","actively mobile","ground dwelling, solitary","","carnivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","",""
"147092","occ","","","12977","n. gen. Stenotholus n. sp. kohleri","species","53215","subjective synonym of","Pachycephalosaurus wyomingensis","","species","64648","Maastrichtian","","72.1","66","Giffin et al.","1988","4306","Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Pachycephalosaurus","","","1","specimens","-106.227776","47.695831","MPM 7111","MPM locality 3850 (Hell Creek Formation)","","","US","Montana","McCone","stated in text","seconds","outcrop","Bug Creek 7 1/2 minute Quadrangle, NE 1/4 of section 5, Township 22N, Range 43E, approx. one mile east of Fort Peck Reservoir and 1.5 miles northwest of the Bug Creek Anthills locality. The lat long is for the Fort Peck Reservoir.","gplates","101","mid","-63.56","58.37","scotese","101","mid","-78.68","54.59","seton","101","mid","-78.30","53.11","US","FED","Hell Creek","","","bed","","","","","","","","","","Middle Hell Creek. Approx. 100 feet above Fox Hills Sandstone/Hell Creek Fm contact, somewhat beneath the middle of the 250-280 feet of Hell Creek Fm east of the Fort Peck Reservoir.","green to buff fine-grained sandstone and siltstone","sandstone","green,yellow","","","","siltstone","green,yellow","","","","""channel""","","""flat bedding and silty to sandy grain size..suggest sediments deposited lateral to a fluvial channel.""","macrofossils","","","","","","","","body","good","","","","","","","","occasional","","","","taxonomic","surface (float),field collection,survey of museum collection","","","","","","","","","terrestrial","","actively mobile","","","herbivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","",""
"147093","occ","","","12977","Hadrosauridae indet.","family","38755","","Hadrosauridae","","family","38755","Maastrichtian","","72.1","66","Giffin et al.","1988","4306","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Hadrosauridae","","","","","","-106.227776","47.695831","","MPM locality 3850 (Hell Creek Formation)","","","US","Montana","McCone","stated in text","seconds","outcrop","Bug Creek 7 1/2 minute Quadrangle, NE 1/4 of section 5, Township 22N, Range 43E, approx. one mile east of Fort Peck Reservoir and 1.5 miles northwest of the Bug Creek Anthills locality. The lat long is for the Fort Peck Reservoir.","gplates","101","mid","-63.56","58.37","scotese","101","mid","-78.68","54.59","seton","101","mid","-78.30","53.11","US","FED","Hell Creek","","","bed","","","","","","","","","","Middle Hell Creek. Approx. 100 feet above Fox Hills Sandstone/Hell Creek Fm contact, somewhat beneath the middle of the 250-280 feet of Hell Creek Fm east of the Fort Peck Reservoir.","green to buff fine-grained sandstone and siltstone","sandstone","green,yellow","","","","siltstone","green,yellow","","","","""channel""","","""flat bedding and silty to sandy grain size..suggest sediments deposited lateral to a fluvial channel.""","macrofossils","","","","","","","","body","good","","","","","","","","occasional","","","","taxonomic","surface (float),field collection,survey of museum collection","","","","","","","","","terrestrial","","actively mobile","","","herbivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","",""
