"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_attr","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","ref_author","ref_pubyr","reference_no","phylum","class","order","family","genus","plant_organ","plant_organ2","abund_value","abund_unit","lng","lat","occurrence_comments","collection_name","collection_subset","collection_aka","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments","paleomodel","geoplate","paleoage","paleolng","paleolat","paleomodel2","geoplate2","paleoage2","paleolng2","paleolat2","paleomodel3","geoplate3","paleoage3","paleolng3","paleolat3","cc","protected","formation","stratgroup","member","stratscale","zone","localsection","localbed","localbedunit","localorder","regionalsection","regionalbed","regionalbedunit","regionalorder","stratcomments","lithdescript","lithology1","lithadj1","lithification1","minor_lithology1","fossilsfrom1","lithology2","lithadj2","lithification2","minor_lithology2","fossilsfrom2","environment","tectonic_setting","geology_comments","assembl_comps","articulated_parts","associated_parts","common_body_parts","rare_body_parts","feed_pred_traces","artifacts","component_comments","pres_mode","preservation_quality","spatial_resolution","temporal_resolution","lagerstatten","concentration","orientation","abund_in_sediment","sorting","fragmentation","bioerosion","encrustation","preservation_comments","collection_type","collection_methods","museum","collection_coverage","collection_size","rock_censused","collectors","collection_dates","collection_comments","taxonomy_comments","taxon_environment","environment_basis","motility","life_habit","vision","diet","reproduction","ontogeny","ecospace_comments","composition","architecture","thickness","reinforcement"
"139251","occ","","","11894","Centrosaurus apertus","species","63911","","Centrosaurus apertus","","species","63911","Late Campanian","","83.5","70.6","Currie","2005","16964","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Ceratopsidae","Centrosaurus","","","1","individuals","-111.528931","50.737297","RTMP 94.164.1","RTMP Quarry 217","","","CA","Alberta","","stated in text","6","small collection","","gplates","101","mid","-65.72","60.93","scotese","101","mid","-75.82","59.04","seton","101","mid","-79.36","55.77","CA","","Dinosaur Park","Belly River","","bed","","","","","","Dinosaur Park","4.03","m","","","","not reported","","","","","","","","","","terrestrial indet.","","","macrofossils","","","","","","","","body","","","snapshot","","dispersed","","","","","","","","general faunal/floral","selective quarrying,mechanical,field collection","TMP","","","","Routley","1994","","","terrestrial","","actively mobile","","","herbivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","",""
"139252","occ","23302","","11895","Gorgosaurus libratus","species","53194","","Gorgosaurus libratus","","species","53194","Late Campanian","","83.5","70.6","Russell","1970","4205","Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Gorgosaurus","","","1","individuals","-111.564636","50.723866","NMC 11593","RTMP Quarry 74, Steveville","","NMC, Sternberg Quarry 50, G.S.C.24","CA","Alberta","","stated in text","6","small collection","near Steveville, Alberta (now Dinosaur Provincial Park); NW 1/4, sec 26, T20, R12, LSD 4","gplates","101","mid","-65.78","60.93","scotese","101","mid","-75.87","59.04","seton","101","mid","-79.40","55.76","CA","","Dinosaur Park","Belly River","","bed","","","","","","","","","","originally assigned to the Oldman Fm.","""sandstone, plant matter""","sandstone","","","carbonaceous","Y","","","","","","channel lag","","""channel base""","macrofossils","","","","","","","","body","good","parautochthonous","snapshot","","dispersed","","","","","","","","taxonomic","selective quarrying,mechanical,field collection","GSC","","","","C. M. Sternberg","1917","","","terrestrial","","actively mobile","","","carnivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","",""
"139253","occ","18699","","11896","Gorgosaurus libratus","species","53194","","Gorgosaurus libratus","","species","53194","Late Campanian","","83.5","70.6","Russell","1970","4205","Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Gorgosaurus","","","1","individuals","-111.525337","50.740471","","RTMP Quarry 106, Sand Creek (75 ft level) [AMNH]","","Sternberg quarry 57, A.M.8","CA","Alberta","","stated in text","6","small collection","near Steveville, Alberta (now Dinosaur Provincial Park); R bank Sand Creek, 75 ft above river, 12 mi below Steveville; NW 1/4, sec 31, T20, R11, W 4th meridian","gplates","101","mid","-65.71","60.93","scotese","101","mid","-75.82","59.05","seton","101","mid","-79.35","55.77","CA","","Dinosaur Park","Belly River","","bed","","","","","","Dinosaur Park","0.755","m","bottom to top","originally assigned to Oldman Fm.","","not reported","","","","","","","","","","terrestrial indet.","","","macrofossils","","","","","","","","body","good","","snapshot","","","","","","","","","","taxonomic","selective quarrying,mechanical,field collection","AMNH","","","","B. Brown & P. Kaisen","1913","","","terrestrial","","actively mobile","","","carnivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","",""
"139254","occ","13634","","11897","n. gen. Gorgosaurus n. sp. libratus","species","53194","","Gorgosaurus libratus","","species","53194","Late Campanian","","83.5","70.6","Lambe","1914","17547","Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Gorgosaurus","","","1","individuals","-111.601021","50.786999","NMC 2120","RTMP Quarry 36, Berry Creek","","Red Deer River, Sternberg Quarry 36, Gorgosaurus type, G.S.C.6, NMC","CA","Alberta","","stated in text","3","small collection","near Steveville, Alberta (now Dinosaur Provincial Park); 3.5 miles below mouth of Berry Creek, on S side of river, Red Deer River, Alberta; NE 1/4 sec 16, T21, R12, LSD 4; ""near the prairie level""","gplates","101","mid","-65.76","60.99","scotese","101","mid","-75.87","59.11","seton","101","mid","-79.42","55.83","CA","","Dinosaur Park","Belly River","","bed","","","","","","","","","","originally assigned to the Oldman Fm.","""tough clayey sandstone""","sandstone","","lithified","argillaceous","Y","","","","","","channel lag","","","macrofossils","","","","","","","","body,soft parts","excellent","parautochthonous","snapshot","","dispersed","","","","occasional","","none","includes skin impressions","taxonomic","selective quarrying,surface (float),surface (in situ),mechanical,field collection","GSC","","","","C. H. Sternberg & C. M. Sternberg","1913","","","terrestrial","","actively mobile","","","carnivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","",""
"139255","occ","18015","","11898","Albertosaurus sarcophagus","species","56319","","Albertosaurus sarcophagus","","species","56319","Late Maastrichtian","","70.6","66","Osborn","1905","9259","Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Albertosaurus","","","1","specimens","-112.981903","51.804600","NMC 5601, skull w/associated postcrania","east bank Red Deer River, GSC (NMC 5601)","","","CA","Alberta","","stated in text","4","small collection","unknown section, township 33, range 22, W 4th meridian; east bank of Red Deer River, about 21 mi above mouth of Kneehills Creek (= Knee Hills Creek) between Morrin and Tolman bridges","gplates","101","mid","-68.27","63.96","scotese","101","mid","-84.74","59.83","seton","101","mid","-84.37","58.34","CA","","Scollard","Edmonton","","bed","","","","","","","","","","upper part of Edmonton Formation (""Edmonton B"")","","sandstone","","","","Y","","","","","","terrestrial indet.","","","macrofossils","","","","","","","","body","good","","snapshot","","dispersed","","","","occasional","","","","taxonomic","selective quarrying,mechanical,field collection","GSC","","","","T. C. Weston","1888–1889","","","terrestrial","","actively mobile","","","carnivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","",""
"139256","occ","30781","","11899","Albertosaurus sarcophagus","species","56319","","Albertosaurus sarcophagus","","species","56319","Early Maastrichtian","","70.6","66","Russell","1970","4205","Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Albertosaurus","","","1","specimens","-112.981903","51.819099","AMNH 5222","2 miles below Tolman Ferry (150 ft level) [AMNH]","","Red Deer River","CA","Alberta","","stated in text","4","outcrop","section 12?, township 33, range 22, W 4th meridian; 150 feet above east bank of Red Deer River, 2 miles below Tolman Ferry","gplates","101","mid","-68.26","63.97","scotese","101","mid","-84.73","59.84","seton","101","mid","-84.36","58.35","CA","","Horseshoe Canyon","Edmonton","Morrin","bed","","","","","","","","","","upper part of formation (""Edmonton B""); 350 feet below top","","not reported","","","","","","","","","","terrestrial indet.","","","macrofossils","","","","","","","","body","","","snapshot","","dispersed","","","","","","","","taxonomic","selective quarrying,mechanical,field collection","AMNH","","","","B. Brown & P. Kaisen","1911","","","terrestrial","","actively mobile","","","carnivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","",""
"139257","occ","","","11900","Albertosaurus n. sp. arctunguis","species","63710","subjective synonym of","Albertosaurus sarcophagus","","species","56319","Early Maastrichtian","","70.6","66","Parks","1928","12347","Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Albertosaurus","","","1","specimens","-112.818901","51.542702","ROM 807 (= Cf.5306)","2.5 miles above Bleriot ferry, Red Deer River (ROM)","","","CA","Alberta","","stated in text","4","small collection","section 27 or 34, township 30, range 21, W 4th meridian; 100 feet above west bank of Red Deer River; 2.5 miles above Bleriot ferry (possibly from Kneehills Creek)","gplates","101","mid","-68.36","63.68","scotese","101","mid","-84.71","59.55","seton","101","mid","-84.31","58.06","CA","","Horseshoe Canyon","Edmonton","Horsethief","bed","","","","","","","","","","lower part of formation (""Edmonton A""); 8 coal","","not reported","","","","Y","","","","","","terrestrial indet.","","","macrofossils","","","","","","","","body","good","","snapshot","","dispersed","","","","","","","","taxonomic","selective quarrying,mechanical,field collection","ROM","","","","G. Lindblad, R. Hornell, J. C. Jack","1923","","","terrestrial","","actively mobile","","","carnivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","",""
"139258","occ","18014","","11901","n. gen. Albertosaurus n. sp. sarcophagus","species","56319","","Albertosaurus sarcophagus","","species","56319","Early Maastrichtian","","70.6","66","Osborn","1905","9259","Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Albertosaurus","","","1","specimens","-112.842300","51.469898","NMC 5600","Kneehills Creek, GSC (NMC 5600)","","Knee Hills Creek, Kirkpatrick Coulee, Dunphy","CA","Alberta","","stated in text","4","small collection","section 11?, township 29, range 21, W. 4th meridian; approximately 100 feet above Red Deer River about 2 mi upstream from mouth of Kneehills Creek (tributary of Red Deer River). Possibly from Kirkpatrick Coulee, near the Dunphy cemetery","gplates","101","mid","-68.46","63.63","scotese","101","mid","-84.78","59.48","seton","101","mid","-84.38","57.99","CA","","Horseshoe Canyon","Edmonton","Bleriot","bed","","","","","","","","","","lower part of Edmonton Formation (""Edmonton A""); 7-8 coal","""light sandstone""","sandstone","","","","Y","","","","","","terrestrial indet.","","","macrofossils","","","","","","","","body","good","","snapshot","","dispersed","","","","occasional","","","","taxonomic","selective quarrying,mechanical,field collection","GSC","","","","J. B. Tyrrell & T. C. Weston","9 Jun 1884","","","terrestrial","","actively mobile","","","carnivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","",""
"139259","occ","","","11902","Albertosaurus sarcophagus","species","56319","","Albertosaurus sarcophagus","","species","56319","Early Maastrichtian","","70.6","66","Russell","1970","4205","Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Albertosaurus","","","1","specimens","-112.702202","51.440800","NMC 2196","Drumheller, Red Deer River (NMC Loc. 5)","","NMC 2196","CA","Alberta","","stated in text","4","local area","section 35?, township 28, range 20, W. 4th meridian; west bank of Red Deer River near Drumheller","gplates","101","mid","-68.32","63.56","scotese","101","mid","-84.63","59.43","seton","101","mid","-84.23","57.94","CA","","Horseshoe Canyon","Edmonton","Horsethief","bed","","","","","","","","","","lower part of Edmonton formation (A); above 7 coal","","not reported","","","","","","","","","","terrestrial indet.","","","macrofossils","","","","","","","","body","","","snapshot","","","","","","","","","","paleoecologic","selective quarrying,mechanical,field collection","NMC","","","","C. H. Sternberg & sons","1912","","","terrestrial","","actively mobile","","","carnivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","",""
"139260","occ","23238","","11604","Titanosaurus n. sp. colberti","species","64311","recombined as","Isisaurus colberti","","species","64311","Maastrichtian","","72.1","66","Jain and Bandyopadhyay","1997","4177","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Isisaurus","","","1","individuals","80.366669","21.183332","","Dongargaon Hill","","Isisaurus type site","IN","Maharashtra","Chandrapur","based on nearby landmark","minutes","outcrop","16 km south-east from Pisdura, Wardha Valley, Chadrapur district, Maharashtra state, India. In the Nand-Dongargaon Basin","gplates","501","mid","71.76","-32.86","scotese","501","mid","63.14","-27.36","seton","501","mid","62.83","-24.58","IN","","Lameta","","","bed","","","","","","","","","","Deccan II phase\r\nC30n","The Lameta Formation of Dongargaon comprises red and green silty clays overlain by variegated finely laminated clays intercalated with thin partings of claystone, linestone, marl, and occasional sandstone partings. The total thickness of the formation is approximately 20 m.","claystone","green,red","","silty","Y","claystone","planar lamination","","","","crevasse splay","forearc basin","","macrofossils,mesofossils","","some","","","","","","body","good","parautochthonous","","","dispersed","","","","","","","","taxonomic","selective quarrying,field collection","","some macrofossils","2 individuals","","S. L. Jain","1984–1986","","","terrestrial","","actively mobile","ground dwelling, gregarious","","herbivore","oviparous, dispersal=direct/internal,mobile","accretion,modification of parts","","hydroxyapatite","compact or dense","thick",""
